music_id,music_name
1185,And Your Bird Can Sing
1186,Another Girl
1187,Any Time At All
1188,Ask Me Why
1189,"Baby, You're A Rich Man"
1190,Birthday
1191,Blackbird
1192,Blue Jay Way
1193,Blue Suede Shoes
1194,Boys
1195,Can't Buy Me Love
1196,Carol
1197,Dear Wack!
1198,Dig A Pony
1199,Dizzy Miss Lizzy
1200,Dr. Robert
1201,For No One
1202,Get Back
1203,Give Peace A Chance
1204,Have A Banana!
1205,"Hello, Goodbye"
1206,Help!
1207,Helter Skelter
1208,I Got A Woman
1209,Leave My Kitten Alone
1210,Little Child
1211,Lucille
1212,Misery
1213,Nobody's Child
1214,"10,000 Feet"
1215,A Thousand Lies
1216,Baby Please Go
1217,Big Beautiful South
1218,Big Coin
1219,Blackbird On The Wire
1220,Blitzkreig Bop
1221,But 'Til Then
1222,Chicken Wings
1223,Ciao
1224,Domino Man
1225,Everybody's Talkin'
1226,His Time Ran Out
1227,I'm Your No. 1 Fan
1228,Let Love Speak Up Itself
1229,Love Wars
1230,Loving Arms
1231,Masculine Eclipse
1232,Mirror
1233,My Book
1234,Pollard
1235,Poppy
1236,Pretenders To The Throne
1237,Rotterdam
1238,Size
1239,Speak To Me
1240,Straight In At 37
1241,Tattoo
1242,The Final Spark
1243,The Table
1244,'Till You Can't Tuck It In
1245,We'll Deal With You Later
1246,White Teeth
1247,"You Play Glockenspiel, I'll Play Drums"
1248,You're The One That I Want
1249,As Long As There's Christmas
1250,Something There
1251,Tale As Old As Time
1252,Theres Something There
1253,2 Years On
1254,855 6019
1255,Above And Beyond
1256,After Dark
1257,Alive
1258,Another Lonely Night In New York
1259,Black Diamond
1260,Blue Island
1261,Bodyguard
1262,Born A Man
1263,Come Home Johnny Birdie
1264,Could It Be
1265,Embrace
1266,Esp
1267,"Every Second, Every Minute"
1268,Fanny (Be Tender With My Love)
1269,Follow The Wind
1270,Ghost Train
1271,High Civilization
1272,I Believe In Miracles
1273,I Can Bring Love
1274,I Can't Let You Go
1275,I Still Love You
